Merchant ID,Account Name,Account Type,Sector,MCC.,Account Owner,Account Status.,Activated Date,Country,Referral Source
173668,Spad House,Property Management,Hospitality,6513- Real Estate Agents and managers-Rentals,Susan Mutie,Finalized,"Oct 3, 2025",Kenya,Self Search
173650,PINILINA SAFARIS,Tour Operator,Travel,4722- Travel Agencies Tour Operators,David Msando,Proposal,,Tanzania,Self Search
173552,Corazon Dance Studio,Gym,Retail,5399-Miscellaneous General Merchant (Small Retail),Elijah Makau,Activated,"Oct 2, 2025",Kenya,Bank Referral
173977,MOMBASA VALENTINES CAKE SHOP ...,Catering,Hospitality,5812- Eating Place & Restaurant,Quesera Wekesa,Closed Won,,Kenya,Bank Referral
173661,The Derrickss Travel & Tours,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Bestina Ngagani,Finalized,"Oct 3, 2025",Tanzania,Self Search
173544,BEAUTIFUL LAND TECHNOLOGY LIMITED,Electronics Shop,Retail,5399-Miscellaneous General Merchant (Small Retail),Samuel Oloo,Finalized,"Oct 2, 2025",Kenya,Employee Referral
173419,Equistyle Saddlery,E-Commerce,E-Commerce,5691- Men and Women Clothing Stores,Ann Njoroge,Finalized,"Oct 6, 2025",Kenya,Helpdesk
173587,OVAC INTERNATIONAL,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Peter Robinson,Failed Sanction Checks,,Kenya,Helpdesk
173546,CHATTHA TRADING LTD,Business Not Elsewhere Classified,Retail,"5511- Car and Truck Dealers (New and Used) Sales, Service, Repair,s Parts and Leasing",Peter Robinson,Finalized,"Oct 2, 2025",Kenya,Bank Referral
173535,TAI BUSINESS SOLUTIONS (U) LIMITED,E-Commerce,E-Commerce,"7392- Consulting, Management and Public Relations Services",Dyline Busiingye,Activated,"Oct 6, 2025",Uganda,Self Search
173494,LIVE FOR ONE CBC,Restaurant,Hospitality,5812- Eating Place & Restaurant,Octave Kazeneza,Failed Sanction Checks,,Rwanda,N/A
173487,ANGELIC CHRISTIAN ADVENTURES LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Daniel Chebon,Qualified Lead,,Kenya,Self Search
173706,THE HATUA COLLECTIVE,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Fortunatus Massawe,Activated,"Oct 5, 2025",Tanzania,Self Search
173705,BULL & BEAR TRAVEL AND TOURS-,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Fortunatus Massawe,Finalized,"Oct 3, 2025",Tanzania,Self Search
173557,OYWA CORE,Events,Retail,5399-Miscellaneous General Merchant (Small Retail),Steve Gituma,Negotiation,,Kenya,Self Search
173492,CRÈME MTUMBA KE,E-Commerce,E-Commerce,5661- Shoe Stores,Barbara Ogwari,Activated,"Oct 1, 2025",Kenya,Helpdesk
173480,FREDERIC ARIRWANDA,Bar / Lounge,Hospitality,5812- Eating Place & Restaurant,Octave Kazeneza,Finalized,"Oct 5, 2025",Rwanda,N/A
172783,Blaqfiti Enterprises,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Jonah Rop,Closed Won,,Kenya,Helpdesk
173467,Task Pal World Hub,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Janet Lenakae,Activation Process,,Kenya,Self Search
173381,Karen Gables Limited,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Elosy Ngina,Closed Won Pending,,Kenya,Self Search
173466,BERTAB JOURNEYS Ltd,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Florent Rwamfizi,Activated,"Oct 3, 2025",Rwanda,N/A
173435,Tanzania Zebra Excursion,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Elia Mwakijale,Activated,"Oct 2, 2025",Tanzania,N/A
173440,SWAN CARRIERS LIMITED,"Fashion, Clothes & Accessories",Retail,5611- Men and Boys Clothing and Accessory Stores,Violet Ogetange,Activated,"Sep 30, 2025",Kenya,Bank Referral
173486,MIDLAND HOTEL Ltd,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Octave Kazeneza,Closed Won Pending,,Rwanda,N/A
173386,DYLOZ COMPANY LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Juliet Nalwoga,Finalized,"Oct 2, 2025",Uganda,N/A
173433,CONSUELO HOLDINGS-SMC LIMITED,Events,Hospitality,"5813- Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail Lounges, Nightclubs & Discotheques",Juliet Nalwoga,Finalized,"Sep 30, 2025",Uganda,N/A
173429,HOTEL OLINA AND SUITES LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Juliet Nalwoga,Finalized,"Sep 30, 2025",Uganda,N/A
173367,HAPA SHAVE ICE LIMITED,Restaurant,Hospitality,5812- Eating Place & Restaurant,Peter Robinson,Finalized,"Oct 6, 2025",Kenya,Bank Referral
173328,Premium Beverages East Africa Limited,Restaurant,Hospitality,5812- Eating Place & Restaurant,Peter Robinson,Finalized,"Sep 30, 2025",Kenya,Self Search
173463,Tamz Chicken Hut Limited,Bar / Lounge,Retail,"5813- Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail Lounges, Nightclubs & Discotheques",Lincey Wanjiku,Finalized,"Oct 1, 2025",Kenya,Self Search
173105,TRAVELLING MONKEY LIMITED,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Palme Paiton Katemana,Finalized,"Sep 30, 2025",Tanzania,N/A
173477,SANDRINE TWAGIRAMARIYA,General Service Provider,Retail,5399-Miscellaneous General Merchant (Small Retail),Octave Kazeneza,Finalized,"Oct 3, 2025",Rwanda,N/A
173271,Ndaya Chauffers Limited,Taxi,Travel,4121- Taxicabs and Limo,Barbara Ogwari,Activated,"Oct 1, 2025",Kenya,Helpdesk
168759,Wisha Beauty and Cosmetics,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Barbara Ogwari,Activated,"Oct 1, 2025",Kenya,Helpdesk
171744,Trimglow Creations,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Elosy Ngina,Activated,"Oct 5, 2025",Kenya,N/A
173119,City Nuga Best Company,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Barbara Ogwari,Activated,"Sep 30, 2025",Kenya,Helpdesk
173446,JOURNEY MAKERS AFRICA LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Dyline Busiingye,Finalized,"Oct 1, 2025",Uganda,Self Search
173444,ADDICT THRIFTY CLOSET LOOKS,"Fashion, Clothes & Accessories",Retail,5399-Miscellaneous General Merchant (Small Retail),Samuel Oloo,Finalized,"Sep 30, 2025",Kenya,Employee Referral
173385,Booze & Banter Limited,Bar / Lounge,Hospitality,"5813- Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail Lounges, Nightclubs & Discotheques",Ann Njoroge,Finalized,"Oct 3, 2025",Kenya,Account Management Referral
173309,SHAMREX ESTABLISHMENTS,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Stephen Kagaba,Activated,"Oct 5, 2025",Uganda,N/A
173182,SERENGETI UNFORGETABLE SAFARIS COMPANY LIMITED,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Fortunatus Massawe,Activated,"Oct 1, 2025",Tanzania,Self Search
173348,Ancora Voyages Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Barbara Ogwari,Activated,"Oct 2, 2025",Kenya,N/A
170988,FENGSHENG ENTERPRISES LIMITED,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Elosy Ngina,Activated,"Sep 30, 2025",Kenya,Self Search
173366,REVIQUIZ LEARNING SOLUTIONS,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Elosy Ngina,Activated,"Sep 30, 2025",Kenya,Helpdesk
173321,ST. MARY'S COLLEGE KISUBI OLD BOYS ASSOCIATION,Events,Hospitality,5399-Miscellaneous General Merchant (Small Retail),Michael Ntale,Closed Won Pending,,Uganda,Self Search
172957,COSMAYA SAFARI TANZANIA LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,David Msando,Closed Won Pending,,Tanzania,Self Search
172156,NEXUS GE LLP,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Barbara Ogwari,Activated,"Sep 30, 2025",Kenya,Helpdesk
173335,HLM BRAND LIMITED,"Fashion, Clothes & Accessories",Retail,5399-Miscellaneous General Merchant (Small Retail),Violet Ogetange,Activated,"Sep 30, 2025",Kenya,Account Management Referral
173673,Mille Collines Kenya Limited,"Fashion, Clothes & Accessories",Retail,5691- Men and Women Clothing Stores,Samuel Oloo,Closed Won Pending,,Kenya,Employee Referral
172405,FAVINEW FASHION AND COLLECTION,E-Commerce,E-Commerce,5611- Men and Boys Clothing and Accessory Stores,Samuel Oloo,Proposal,,Kenya,Self Search
159742,Plume Apparel,E-Commerce,E-Commerce,5691- Men and Women Clothing Stores,Samuel Oloo,Finalized,"Sep 30, 2025",Kenya,Self Search
173170,Kentracks Technologies Ltd,E-Commerce,E-Commerce,"5599- Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Calssified)",Jonathan Mwai,Finalized,"Sep 30, 2025",Kenya,Helpdesk
172560,Jakeana Enterprises,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Barbara Ogwari,Finalized,"Sep 30, 2025",Kenya,Chat
173369,UMU GENERAL SUPPLY,Restaurant,Hospitality,5812- Eating Place & Restaurant,Peter Robinson,Finalized,"Sep 30, 2025",Kenya,Self Search
173095,J&N COMPANY SUPPLY Ltd,Restaurant,Hospitality,5812- Eating Place & Restaurant,Florent Rwamfizi,Closed Won Pending,,Rwanda,N/A
173123,SECU & TECHNOLOGY Ltd,Electronics Shop,Retail,5732- Electronics Sales,Florent Rwamfizi,Activated,"Sep 29, 2025",Rwanda,N/A
173265,SOFTWARE SKILLS RWANDA Limited,School,Retail,8220- Colleges and Universities,Florent Rwamfizi,Activated,"Oct 3, 2025",Rwanda,N/A
172681,HASSAN MBALI,Bar / Lounge,Hospitality,"5813- Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail Lounges, Nightclubs & Discotheques",Octave Kazeneza,Finalized,"Sep 30, 2025",Rwanda,Bank Referral
173291,Vibeway Safaris Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Alexander Maleko,Activated,"Sep 30, 2025",Kenya,External Referral
173200,Achillies Holiday And Safaris,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Elosy Ngina,Activated,"Sep 30, 2025",Kenya,Self Search
173322,PACIFIC PETROLEUM LIMITED,Petroleum,Retail,5541- Service Station (Retail),Judy Masita,Finalized,"Sep 30, 2025",Kenya,Self Search
173379,SUNSHINE AQUATIC CENTRE,Diving/Water Sports,Hospitality,5399-Miscellaneous General Merchant (Small Retail),Quesera Wekesa,Activated,"Sep 30, 2025",Kenya,Self Search
173344,LA'VILLA ENTERPRISES LIMITED,Bar / Lounge,Hospitality,5812- Eating Place & Restaurant,Sharon Munguryek,Finalized,"Sep 30, 2025",Uganda,N/A
173327,SKY PLACE COMPANY LIMITED,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Anthony Ngunyi,Finalized,"Oct 1, 2025",Kenya,Bank Referral
173113,COSII MARKET LTD,Super Market / Self Service Store,Retail,5411-Grocery Store/Supermarket (Retail),Collins Kweyamba,Finalized,"Oct 5, 2025",Rwanda,Self Search
173360,EQUITORIAL STAR ADVENTURE SAFARI LTD,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Daniel Chebon,Activated,"Sep 30, 2025",Kenya,Account Management Referral
173318,ASILI BOUTIQUE,"Fashion, Clothes & Accessories",Retail,5691- Men and Women Clothing Stores,Elia Mwakijale,Finalized,"Sep 30, 2025",Tanzania,N/A
165828,Lenmanya Adventures Limited,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Peter Robinson,Finalized,"Sep 30, 2025",Kenya,Helpdesk
172759,ROMANTIC HOTEL LTD,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Octave Kazeneza,Finalized,"Sep 30, 2025",Rwanda,N/A
173021,CENTRE D' ACCUEIL SAINT FRANCOIS XAVIER Ltd,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Octave Kazeneza,New Lead,,Rwanda,N/A
172703,Jean Marie Vianney Munyamahirwe,Bar / Lounge,Hospitality,"5813- Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail Lounges, Nightclubs & Discotheques",Octave Kazeneza,Closed Won Pending,,Rwanda,Bank Referral
166738,NEW SNOW INEZA HOTEL Ltd,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Octave Kazeneza,Finalized,"Sep 30, 2025",Rwanda,N/A
166535,ARS GENERAL TRADING COMPANY Ltd,Distributors,Retail,5399-Miscellaneous General Merchant (Small Retail),Octave Kazeneza,Closed Won Pending,,Rwanda,N/A
173202,LEGACY REAL ESTATES Ltd,E-Commerce,E-Commerce,6513- Real Estate Agents and managers-Rentals,Octave Kazeneza,Finalized,"Sep 30, 2025",Rwanda,Sales Drive _ Kalangala
173130,NMG PHARMACY Ltd,Pharmacy,Retail,5912- Drug store and Pharmacy,Florent Rwamfizi,Activated,"Sep 30, 2025",Rwanda,Bank Referral
173128,JORDAN PHARMACY Ltd,Pharmacy,Retail,5912- Drug store and Pharmacy,Florent Rwamfizi,Activated,"Sep 29, 2025",Rwanda,N/A
173118,Amani Counselling and training Institute,Business Not Elsewhere Classified,Retail,5399-Miscellaneous General Merchant (Small Retail),Joseph Mbothu,Activated,"Sep 30, 2025",Kenya,Employee Referral
173092,MUTHAIGA CENTRUM LIMITED,Bar / Lounge,Hospitality,5812- Eating Place & Restaurant,Nancy Kanyang'or,Finalized,"Sep 26, 2025",Kenya,Account Management Referral
173289,ELEGANT FITNESS FLARE LIMITED,Gym,Retail,5399-Miscellaneous General Merchant (Small Retail),Barbara Ogwari,Activated,"Sep 30, 2025",Kenya,Self Search
172456,Curvemetrics Technology Ltd,E-Commerce,E-Commerce,"5712- Furniture, Home Furnishings, and Equipment store, Except Appliances",Ann Njoroge,Finalized,"Oct 5, 2025",Kenya,N/A
172973,Snapp Systems Kenya Limited,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Elosy Ngina,Activated,"Sep 30, 2025",Kenya,N/A
173085,Mwangusya Dickluck Enterprises,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Raymond Eguru,Activated,"Sep 28, 2025",Uganda,Bank Referral
173082,Ultra Red Technologies Limited,General Service Provider,Retail,"5111- Stationery, Office Supplies, Printing and Writing Paper",Elijah Makau,Closed Won Pending,,Kenya,Self Search
173107,LE PLAISIR SERVICES,Bar / Lounge,Retail,"5813- Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail Lounges, Nightclubs & Discotheques",Dyline Busiingye,Finalized,"Sep 29, 2025",Uganda,Self Search
166666,Cilla Artwork,E-Commerce,E-Commerce,5691- Men and Women Clothing Stores,Daniel Chebon,Finalized,"Sep 26, 2025",Kenya,Self Search
169943,ELEGANT DESIGNS & CONSTRUCTIONS TZ COMPANY LIMITED,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Elia Mwakijale,Finalized,"Sep 26, 2025",Tanzania,N/A
173469,Trek Safaris (Uganda) Limited,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Jonathan Ssempa,Finalized,"Oct 2, 2025",Uganda,Self Search
173066,Guiza Collection,"Fashion, Clothes & Accessories",Retail,5691- Men and Women Clothing Stores,Jonathan Ssempa,Finalized,"Sep 29, 2025",Uganda,Self Search
173064,Tukole Makerspace SMC Limited,Business Not Elsewhere Classified,Retail,5399-Miscellaneous General Merchant (Small Retail),Jonathan Ssempa,Finalized,"Sep 26, 2025",Uganda,Self Search
173020,Calibrecode Limited,Consultancy,Retail,"7392- Consulting, Management and Public Relations Services",Janet Lenakae,Finalized,"Sep 26, 2025",Kenya,Self Search
172968,SEA VIEW BEACH RESORT,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Allen Shilinde,Activated,"Sep 30, 2025",Tanzania,Bank Referral
173019,SPARKLE TOOTH STUDIO DENTAL CLINIC,Hospital,Retail,8011- Doctors & Physicians,Simon Mahinda,Activated,"Sep 26, 2025",Kenya,Landing Page
173465,RIVE & CO LIMITED,E-Commerce,E-Commerce,"7392- Consulting, Management and Public Relations Services",Marko Lambaldo,Failed Sanction Checks,,Tanzania,N/A
171153,Carded and More,General Service Provider,Retail,5399-Miscellaneous General Merchant (Small Retail),Barbara Ogwari,Activated,"Sep 30, 2025",Kenya,Helpdesk
173099,Kayjah Design Studio,"Fashion, Clothes & Accessories",Retail,5691- Men and Women Clothing Stores,Violet Ogetange,Activated,"Sep 26, 2025",Kenya,Chat
173315,RIVERQUEENSKE LIMITED,E-Commerce,E-Commerce,5621- Women Ready to Wear Stores,Violet Ogetange,Activated,"Sep 30, 2025",Kenya,N/A
172541,IJENGE HUB,Consultancy,Retail,"7392- Consulting, Management and Public Relations Services",Barbara Ogwari,Activated,"Sep 29, 2025",Kenya,Helpdesk
173002,Revive Ortho And Spine Centre Limited,Hospital,Retail,8062- Hospital,Elijah Makau,Activated,"Sep 26, 2025",Kenya,Bank Referral
173039,Association for Christian Theological Education In Africa,E-Commerce,E-Commerce,8661- Religious Organizations,Ann Njoroge,Closed Won Pending,,Kenya,Bank Referral
173053,SWAHILI SAFARI ESCAPE,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Fortunatus Massawe,Finalized,"Sep 26, 2025",Tanzania,Self Search
173049,SKYFREE INTERNATIONAL,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Fortunatus Massawe,Activated,"Oct 1, 2025",Tanzania,Walk-In
173047,SKILL FOREST LODGE,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Fortunatus Massawe,Finalized,"Sep 29, 2025",Tanzania,Self Search
172512,CAFE NOVA,Restaurant,Hospitality,5812- Eating Place & Restaurant,Fortunatus Massawe,Rate Review,"Sep 29, 2025",Tanzania,Self Search
173084,NEXTO INVESTMENTS CO. LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Dyline Busiingye,Finalized,"Sep 26, 2025",Uganda,Self Search
172996,SKYNEX INTERNATIONAL TRAVEL AGENCY LIMITED,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Peter Robinson,Finalized,"Sep 26, 2025",Kenya,Employee Referral
172982,DIVAH TRAVEL WORLD LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Stephen Kagaba,Activated,"Sep 26, 2025",Uganda,Partner
172800,HAPPY TUMMIES Ltd,General Service Provider,Retail,5399-Miscellaneous General Merchant (Small Retail),Florent Rwamfizi,Activated,"Sep 26, 2025",Rwanda,N/A
172991,SKYNEX TOURS AND SAFARIS LTD,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Peter Robinson,Finalized,"Sep 26, 2025",Kenya,Employee Referral
172987,The Juicy Lime,Super Market / Self Service Store,Retail,6411- Test Grocery Store/ Supermarket (Retail),Susan Mutie,Finalized,"Sep 26, 2025",Kenya,Self Search
172964,NEXT GREEN ADVENTURES,Travel Agent,Travel,4722- Travel Agencies Tour Operators,Palme Paiton Katemana,Activated,"Oct 2, 2025",Tanzania,N/A
173016,Zaromwa Beach Resort Limited,Hotel,Hospitality,"7011- Hotels, Motels and Resorts",Jonah Rop,Finalized,"Sep 26, 2025",Kenya,Self Search
161849,WILDLIFE AND PROTOHISTORY SAFARIS LIMITED,Tour Operator,Travel,4722- Travel Agencies Tour Operators,Daniel Chebon,Activated,"Sep 26, 2025",Kenya,N/A
160282,LUCID AUDIO VISUAL CONSULT LIMITED,Consultancy,Retail,5399-Miscellaneous General Merchant (Small Retail),Raymond Eguru,Finalized,"Sep 25, 2025",Uganda,N/A
172886,THRYVSOUL VENTURES UGANDA,Consultancy,Retail,"7392- Consulting, Management and Public Relations Services",Raymond Eguru,Activated,"Sep 25, 2025",Uganda,N/A
172969,KROM RICE LIMITED,General Service Provider,Retail,5399-Miscellaneous General Merchant (Small Retail),Violet Ogetange,Activated,"Sep 26, 2025",Kenya,Bank Referral
172914,Nase Eats Limited,Restaurant,Hospitality,5814- Quick Service Restaurant,Elijah Makau,Finalized,"Sep 25, 2025",Kenya,Self Search
171703,IDAN DEVELOPERS LIMITED,Restaurant,Hospitality,5812- Eating Place & Restaurant,David Githaiga,Closed Won Pending,,Kenya,Social Media
170189,Tribaltrek Artifacts & Tours,E-Commerce,E-Commerce,5399-Miscellaneous General Merchant (Small Retail),Elijah Makau,Activated,"Sep 26, 2025",Kenya,Chat
